9/24 00:37:46.579  ---- Startup ----
9/24 00:37:47.421  	Requesting TactKey RecID 15
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 777015 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 777031 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 777033 VALIDATION_RESULT_DELETE
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 777220 VALIDATION_RESULT_DELETE
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 778995 VALIDATION_RESULT_DELETE
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787761 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787767 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787768 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787772 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787773 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787774 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787775 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787776 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787778 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787779 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787780 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787781 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787782 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787788 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787789 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787790 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787792 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787800 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787801 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787802 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787803 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787804 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787805 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787806 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787821 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787822 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787825 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787831 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787834 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787835 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787839 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787846 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualKitEffect RecID 787851 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table Curve RecID 112530 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualMissile RecID 29657 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SpellVisualMissile RecID 29658 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table ObjectEffect RecID 9276 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table ObjectEffect RecID 9421 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table ObjectEffect RecID 9427 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CurvePoint RecID 336492 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CurvePoint RecID 336493 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundData RecID 10675 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundData RecID 10686 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureSoundData RecID 10773 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureDisplayInfoGeosetData RecID 133626 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureDisplayInfoGeosetData RecID 133627 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureDisplayInfoGeosetData RecID 133628 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureDisplayInfoGeosetData RecID 133629 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureDisplayInfoGeosetData RecID 133630 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureDisplayInfoGeosetData RecID 133631 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureDisplayInfo RecID 146986 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureDisplayInfo RecID 147569 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureDisplayInfo RecID 147573 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureDisplayInfo RecID 147574 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureDisplayInfo RecID 147577 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table CreatureDisplayInfo RecID 147578 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 316729 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 318455 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 324443 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 324569 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331035 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331036 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331038 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331039 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331040 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331042 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331043 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331044 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331050 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331051 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331053 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331056 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331057 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331061 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331062 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331063 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331064 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331065 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331066 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331068 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331069 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331071 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331072 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331073 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331074 VALIDATION_RESULT_VALID
9/24 00:37:59.637  	109878 Table SoundKitAdvanced RecID 331075 VALIDATION_RESULT_VALID
